Init xI yI Goal xG yG LL
34 3 4 34 3 4 -569.092
34 3 4 35 3 5 -196.511
34 3 4 41 4 1 -199.969
34 3 4 42 4 2 -208.605
34 3 4 43 4 3 -199.814
34 3 4 44 4 4 -200.874
34 3 4 45 4 5 -203.832
34 3 4 51 5 1 -198.12
34 3 4 52 5 2 -200.776
34 3 4 53 5 3 -230.05
34 3 4 54 5 4 -211.341
34 3 4 55 5 5 -199.943
35 3 5 11 1 1 -222.196
35 3 5 12 1 2 -218.29
35 3 5 13 1 3 -223.277
35 3 5 14 1 4 -223.818
35 3 5 15 1 5 -227.164
35 3 5 21 2 1 -222.153
35 3 5 22 2 2 -219.798
35 3 5 23 2 3 -221.53
35 3 5 24 2 4 -222.429
35 3 5 25 2 5 -216.126
35 3 5 31 3 1 -952.576
35 3 5 32 3 2 -229.431
35 3 5 33 3 3 -342.416
35 3 5 34 3 4 -578.571
35 3 5 35 3 5 -752.776
35 3 5 41 4 1 -805.021
35 3 5 42 4 2 -228.357
35 3 5 43 4 3 -218.622
35 3 5 44 4 4 -219.905
35 3 5 45 4 5 -221.227
35 3 5 51 5 1 -228.804
35 3 5 52 5 2 -219.646
35 3 5 53 5 3 -226.967
35 3 5 54 5 4 -231.609
35 3 5 55 5 5 -218.426
41 4 1 11 1 1 -176.093
41 4 1 12 1 2 -172.803
41 4 1 13 1 3 -177.024
41 4 1 14 1 4 -176.958
41 4 1 15 1 5 -174.386
41 4 1 21 2 1 -181.74
41 4 1 22 2 2 -178.28
41 4 1 23 2 3 -440.965
41 4 1 24 2 4 -174.684
41 4 1 25 2 5 -173.535
41 4 1 31 3 1 -217.893
41 4 1 32 3 2 -199.577
41 4 1 33 3 3 -175.426
41 4 1 34 3 4 -173.629
41 4 1 35 3 5 -173.257
41 4 1 41 4 1 -794.867
41 4 1 42 4 2 -487.001
41 4 1 43 4 3 -176.365
41 4 1 44 4 4 -176.158
41 4 1 45 4 5 -173.971
41 4 1 51 5 1 -171.533
41 4 1 52 5 2 -178.877
41 4 1 53 5 3 -187.429
41 4 1 54 5 4 -188.737
41 4 1 55 5 5 -170.264
42 4 2 11 1 1 -189.706
42 4 2 12 1 2 -201.844
42 4 2 13 1 3 -190.363
42 4 2 14 1 4 -192.291
42 4 2 15 1 5 -190.233
42 4 2 21 2 1 -197.749
42 4 2 22 2 2 -194.253
42 4 2 23 2 3 -186.946
42 4 2 24 2 4 -189.49
42 4 2 25 2 5 -188.919
42 4 2 31 3 1 -241.296
42 4 2 32 3 2 -270.973
42 4 2 33 3 3 -198.125
42 4 2 34 3 4 -192.323
42 4 2 35 3 5 -193.658
42 4 2 41 4 1 -230.724
42 4 2 42 4 2 -531.671
42 4 2 43 4 3 -334.672
42 4 2 44 4 4 -188.975
42 4 2 45 4 5 -189.186
42 4 2 51 5 1 -186.431
42 4 2 52 5 2 -453.442
42 4 2 53 5 3 -291.2
42 4 2 54 5 4 -207.683
42 4 2 55 5 5 -189.147
43 4 3 11 1 1 -226.596
43 4 3 12 1 2 -247.77
43 4 3 13 1 3 -198.167
43 4 3 14 1 4 -204.758
43 4 3 15 1 5 -227.162
43 4 3 21 2 1 -241.873
43 4 3 22 2 2 -243.624
43 4 3 23 2 3 -195.242
43 4 3 24 2 4 -222.315
43 4 3 25 2 5 -198.922
43 4 3 31 3 1 -470.836
43 4 3 32 3 2 -280.303
43 4 3 33 3 3 -197.114
43 4 3 34 3 4 -195.259
43 4 3 35 3 5 -203.623
43 4 3 41 4 1 -245.886
43 4 3 42 4 2 -508.756
43 4 3 43 4 3 -417.434
43 4 3 44 4 4 -282.159
43 4 3 45 4 5 -221.625
43 4 3 51 5 1 -224.293
43 4 3 52 5 2 -230.303
43 4 3 53 5 3 -297.642
43 4 3 54 5 4 -221.204
43 4 3 55 5 5 -203.914
44 4 4 11 1 1 -214.185
44 4 4 12 1 2 -215.045
44 4 4 13 1 3 -234.669
44 4 4 14 1 4 -214.642
44 4 4 15 1 5 -218.376
44 4 4 21 2 1 -206.955
44 4 4 22 2 2 -219.412
44 4 4 23 2 3 -208.794
44 4 4 24 2 4 -206.674
44 4 4 25 2 5 -211.269
44 4 4 31 3 1 -274.731
44 4 4 32 3 2 -604.092
44 4 4 33 3 3 -209.43
44 4 4 34 3 4 -217.63
44 4 4 35 3 5 -209.99
44 4 4 41 4 1 -285.879
44 4 4 42 4 2 -213.247
44 4 4 43 4 3 -216.863
44 4 4 44 4 4 -452.158
44 4 4 45 4 5 -214.151
44 4 4 51 5 1 -294.566
44 4 4 52 5 2 -272.348
44 4 4 53 5 3 -306.696
44 4 4 54 5 4 -233.5
44 4 4 55 5 5 -211.27
45 4 5 11 1 1 -230.85
45 4 5 12 1 2 -229.212
45 4 5 13 1 3 -241.064
45 4 5 14 1 4 -237.941
45 4 5 15 1 5 -233.746
45 4 5 21 2 1 -231.69
45 4 5 22 2 2 -230.089
45 4 5 23 2 3 -232.908
45 4 5 24 2 4 -229.926
45 4 5 25 2 5 -235.019
45 4 5 31 3 1 -230.214
45 4 5 32 3 2 -244.13
45 4 5 33 3 3 -240.181
45 4 5 34 3 4 -228.023
45 4 5 35 3 5 -229.383
45 4 5 41 4 1 -228.052
45 4 5 42 4 2 -301.872
45 4 5 43 4 3 -238.8
45 4 5 44 4 4 -256.373
45 4 5 45 4 5 -635.841
45 4 5 51 5 1 -229.996
45 4 5 52 5 2 -439.597
45 4 5 53 5 3 -335.701
45 4 5 54 5 4 -255.476
45 4 5 55 5 5 -242.452
51 5 1 11 1 1 -183.301
51 5 1 12 1 2 -184.356
51 5 1 13 1 3 -187.21
51 5 1 14 1 4 -185.502
51 5 1 15 1 5 -186.905
51 5 1 21 2 1 -187.309
51 5 1 22 2 2 -190.329
51 5 1 23 2 3 -185.269
51 5 1 24 2 4 -186.488
51 5 1 25 2 5 -183.26
51 5 1 31 3 1 -218.053
51 5 1 32 3 2 -234.657
51 5 1 33 3 3 -187.242
51 5 1 34 3 4 -184.379
51 5 1 35 3 5 -184.695
51 5 1 41 4 1 -290.599
51 5 1 42 4 2 -196.61
51 5 1 43 4 3 -185.065
51 5 1 44 4 4 -186.249
51 5 1 45 4 5 -183.208
51 5 1 51 5 1 -826.893
51 5 1 52 5 2 -187.992
51 5 1 53 5 3 -198.1
51 5 1 54 5 4 -198.685
51 5 1 55 5 5 -180.039
52 5 2 11 1 1 -211.82
52 5 2 12 1 2 -204.817
52 5 2 13 1 3 -203.188
52 5 2 14 1 4 -203.243
52 5 2 15 1 5 -728.125
52 5 2 21 2 1 -729.66
52 5 2 22 2 2 -203.42
52 5 2 23 2 3 -202.761
52 5 2 24 2 4 -204.23
52 5 2 25 2 5 -730.826
52 5 2 31 3 1 -931.302
